[train epoch=0 slice=5 indices=[489, 572, 839, 32, 710, 685, 632, 263, 594, 379, 449, 643, 225, 169, 806, 802, 111, 639, 741, 790]]
fes=50	x=[1.4999,1.7172,-0.8190,-1.3235,-0.6657,-3.1019,-2.8233,2.5651,0.7403,-0.5377,-1.0936,2.0533,0.2009,0.7391,1.8228,-3.4379,2.9788,-3.6926,3.7524,-1.2352]	y=92.3298
fes=100	x=[0.0213,0.9382,0.0830,3.5599,-3.2524,3.1021,3.9316,-0.6878,1.7792,1.5572,0.7183,0.3901,2.0201,0.0673,-0.0366,0.4320,3.1944,0.5466,-0.9524,-2.0234]	y=75.7278
fes=150	x=[0.0213,0.9382,0.0830,3.5599,-0.3214,3.1021,3.9316,-0.6878,1.7792,1.5572,0.7183,0.3901,2.0201,0.0673,-0.0366,0.4320,3.1944,0.5466,-0.9524,-2.0234]	y=65.2527
fes=200	x=[0.0213,0.9382,0.0830,3.5599,-0.3214,3.1021,3.9316,-0.6878,1.7792,1.5572,0.7183,0.3901,2.0201,0.0673,-0.0366,0.4320,3.1944,0.5466,-0.9524,-2.0234]	y=65.2527
fes=250	x=[0.0213,0.9382,0.0830,3.5599,-0.3214,3.1021,3.9316,-0.6878,0.9093,1.5572,0.7183,0.3901,2.0201,0.0673,-0.0366,0.4320,3.1944,0.5466,-0.9524,-2.0234]	y=62.9141
fes=300	x=[0.7793,-0.7201,-0.9332,-2.1029,-0.6579,2.6946,0.9786,-0.6484,-2.8975,-0.0311,-1.8546,-0.3679,3.6724,-0.1810,-0.6716,-0.3867,-1.6229,2.7906,0.8574,-0.9008]	y=53.5496
fes=350	x=[0.7793,-2.5081,-0.9332,-2.1029,-0.6579,2.6946,0.9786,1.5603,-1.1244,1.0759,-1.1260,-0.3679,3.6724,-0.1810,-0.4322,-1.1926,0.6501,1.5789,0.8430,-0.9008]	y=46.6677
fes=400	x=[0.7793,-2.5081,-0.9332,-2.1029,-0.2926,2.6946,0.9786,1.5603,-1.1244,1.0759,-1.1260,-0.3679,3.6724,-0.1810,-0.4322,-1.1926,0.6501,1.5789,0.8430,-0.9008]	y=46.3206
fes=450	x=[0.2836,-2.3204,-0.9332,-1.7562,-0.2926,2.6946,0.9786,1.7671,-1.1244,1.0759,-1.2535,-0.1796,3.6724,-0.3308,-0.4322,-1.1926,0.6501,1.5789,0.6183,-0.9008]	y=44.1867
fes=500	x=[0.2836,-2.3204,-0.9332,-1.7562,-0.2926,2.6946,0.9786,1.7671,-1.1244,1.0759,-1.2535,-0.1796,3.6724,-0.3308,-0.4322,0.0291,0.6501,1.5789,0.6183,-0.9008]	y=42.7653
fes=550	x=[0.2917,-1.5415,-0.0992,-1.7562,-0.2926,2.4886,2.1124,0.9036,-0.4374,0.7013,-1.3030,-0.6239,3.6724,0.2064,-0.4322,1.1067,1.1346,1.5789,0.6183,-1.4980]	y=41.2304
fes=600	x=[0.4700,-0.4724,-0.3368,-1.8473,0.0815,2.5744,2.2561,0.9230,-0.7408,-0.3454,-0.3328,-0.7559,3.6912,0.4724,-0.7326,0.6364,0.5698,1.4120,0.6599,-0.5621]	y=35.7561
fes=650	x=[-0.7538,-1.1431,1.5448,1.3953,0.5374,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,2.0196,0.1605,-2.5245,-1.3272,1.9031,-0.4112,0.2861,-1.2710]	y=31.0974
fes=700	x=[-0.7538,-1.1431,1.5448,1.3953,0.5374,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,2.0196,0.1605,-2.5245,-1.3272,1.9031,-0.4112,0.2861,-1.2710]	y=31.0974
fes=750	x=[-0.7538,-1.1431,1.5448,1.3953,0.5374,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,2.0196,0.1605,-2.5245,-1.3272,1.9031,-0.4112,0.2861,-1.2710]	y=31.0974
fes=800	x=[-0.7538,-1.1431,1.5448,1.3953,0.5374,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,1.5051,0.1605,-2.5245,-1.3272,1.9031,-0.4112,0.2861,-1.2710]	y=29.2838
fes=850	x=[-0.7538,-1.1431,1.5448,1.3953,0.5374,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,1.5051,0.1605,-2.5245,-1.3272,-0.7710,-0.4112,0.2861,-1.2710]	y=26.2563
fes=900	x=[-0.7538,-1.1431,1.5448,1.3953,-0.4652,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,1.5051,0.1605,-2.5245,-1.3272,-0.7710,-0.4112,0.2861,-1.2710]	y=26.1839
fes=950	x=[-0.7538,-1.1431,1.5448,1.3953,-0.4652,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,1.5051,0.1605,-2.5245,-1.3272,-0.7710,-0.4112,0.2861,-1.2710]	y=26.1839
fes=1000	x=[-0.7538,-1.1431,1.5448,1.3953,-0.4652,0.0699,1.7071,-0.6673,0.5523,1.5868,0.6301,0.5372,1.5051,0.1605,-2.5245,-1.3272,-0.7710,-0.4112,0.2861,-1.2710]	y=26.1839
fes=1050	x=[0.4738,-1.0420,2.1325,1.2609,-0.3696,1.7299,1.0637,-0.6700,-0.5012,-1.2310,-2.4139,0.1329,-0.9768,0.7209,0.7472,-1.0294,-0.5578,0.1425,0.5632,-0.6829]	y=23.9750
fes=1100	x=[-0.0942,-2.1941,2.0240,1.3653,-0.0390,0.6361,1.2208,-1.4349,-0.1947,-1.0127,-0.7202,0.3269,-0.4951,0.6592,-0.5552,-0.1249,-1.4916,-0.6287,0.3627,-0.4335]	y=20.3710
