[train epoch=0 slice=9 indices=[31, 152, 479, 77, 817, 475, 637, 157, 898, 912, 773, 716, 261, 627, 640, 447, 123, 89, 959, 734]]
fes=50	x=[4.2494,0.6391,1.3227,-4.3215,2.2453,1.0120,-0.1797,4.0499,0.5922,-2.9255,-0.7259,-0.7349,2.2953,-2.4647,1.4351,-3.0077,-3.4527,-0.1861,-2.9291,-0.8895]	y=115.1423
fes=100	x=[-0.5929,0.2958,3.9298,1.6981,-2.0525,1.4289,2.2180,-1.6525,0.7312,0.0771,-3.3355,-0.0282,-0.9021,-2.1408,-1.3889,-1.6647,-1.9888,-0.9804,-0.1652,0.4871]	y=59.6158
fes=150	x=[-0.5929,0.2958,3.9298,1.6981,-2.0525,1.4289,2.2180,-1.6525,0.7312,0.0771,-3.3355,-0.0282,-0.9021,-2.1408,-1.3889,-1.6647,-1.9888,-0.9804,-0.1652,0.4871]	y=59.6158
fes=200	x=[-0.5929,0.2958,3.9298,1.6981,-2.0525,1.4289,2.2180,-1.6525,0.7312,0.0771,-3.3355,-0.0282,-0.9021,-2.1408,-1.3889,-1.6647,-1.9888,-0.9804,-0.1652,0.4871]	y=59.6158
fes=250	x=[-0.5929,0.2958,3.9298,1.6981,-2.0525,1.4289,2.2180,-1.6525,0.7312,0.0771,-3.3355,-0.0282,-0.9021,-2.1408,-1.3889,-1.6647,-1.9888,-0.9804,-0.1652,0.4871]	y=59.6158
fes=300	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=350	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=400	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=450	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=500	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=550	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=600	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=650	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=700	x=[1.4214,-1.1492,0.9580,0.5448,-0.6303,-0.4257,0.8721,-0.2032,-1.4116,-1.5881,-0.8821,-2.0161,-0.5138,-0.7497,2.4735,-1.4344,-0.4077,0.7255,-2.2994,1.9563]	y=34.1026
fes=750	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=800	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=850	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=900	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=950	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=1000	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=1050	x=[-0.1180,-0.0958,-1.2518,-0.3002,0.1195,-1.7067,0.7775,-1.3854,0.4835,1.5878,0.9589,0.0829,0.2356,-1.2062,-1.5129,0.3846,1.2548,1.2177,0.4717,0.3118]	y=18.1367
fes=1100	x=[0.4184,1.7279,-0.1457,-0.2593,-1.5109,0.7410,0.8714,-0.2730,1.1060,-0.3193,0.1461,-1.4435,1.3483,-0.4143,1.2360,0.3421,-0.8117,-1.0041,0.5929,-1.0360]	y=17.0715
fes=1150	x=[1.1339,0.3368,0.0463,0.6917,-0.3272,0.7667,-1.1288,-1.1613,0.5055,0.0370,-0.2278,0.9112,-0.2705,-1.0463,-0.9233,-0.1150,-0.7537,1.2456,0.0382,0.4783]	y=10.7201
fes=1200	x=[1.1339,0.3368,0.0463,0.6917,-0.3272,0.7667,-1.1288,-1.1613,0.5055,0.0370,-0.2278,0.9112,-0.2705,-1.0463,-0.9233,-0.1150,-0.7537,1.2456,0.0382,0.4783]	y=10.7201
fes=1250	x=[1.1339,0.3368,0.0463,0.6917,-0.3272,0.7667,-1.1288,-1.1613,0.5055,0.0370,-0.2278,0.9112,-0.2705,-1.0463,-0.9233,-0.1150,-0.7537,1.2456,0.0382,0.4783]	y=10.7201
fes=1300	x=[-1.6459,0.6010,-0.3823,0.6995,-1.0747,0.6799,0.2820,-0.4926,0.2106,-0.7551,-0.2619,0.6467,0.7156,-0.2221,-0.2528,-0.4960,-0.4077,0.3786,-0.6194,0.8908]	y=9.1045
fes=1350	x=[-1.6459,0.6010,-0.3823,0.6995,-1.0747,0.6799,0.2820,-0.4926,0.2106,-0.7551,-0.2619,0.6467,0.7156,-0.2221,-0.2528,-0.4960,-0.4077,0.3786,-0.6194,0.8908]	y=9.1045
fes=1400	x=[-0.8272,-0.4843,-0.3208,0.7777,-0.4856,0.3357,-1.0262,-1.2297,-0.2629,-0.1053,0.5783,1.0839,0.2373,-0.6290,0.0816,0.5245,0.8089,-0.2571,-0.7991,0.2903]	y=8.3069
fes=1450	x=[1.0414,-0.5288,0.4637,0.9096,-0.3943,0.1365,0.1061,-0.9472,0.8531,-1.2083,0.3674,0.1241,-0.0867,0.2090,0.2635,-0.8748,0.7221,0.6512,-0.5353,0.1880]	y=7.9806
fes=1500	x=[1.0414,-0.5288,0.4637,0.9096,-0.3943,0.1365,0.1061,-0.9472,0.8531,-1.2083,0.3674,0.1241,-0.0867,0.2090,0.2635,-0.8748,0.7221,0.6512,-0.5353,0.1880]	y=7.9806
fes=1550	x=[1.0414,-0.5288,0.4637,0.9096,-0.3943,0.1365,0.1061,-0.9472,0.8531,-1.2083,0.3674,0.1241,-0.0867,0.2090,0.2635,-0.8748,0.7221,0.6512,-0.5353,0.1880]	y=7.9806
fes=1600	x=[1.0414,-0.5288,0.4637,0.9096,-0.3943,0.1365,0.1061,-0.9472,0.8531,-1.2083,0.3674,0.1241,-0.0867,0.2090,0.2635,-0.8748,0.7221,0.6512,-0.5353,0.1880]	y=7.9806
fes=1650	x=[1.0414,-0.5288,0.4637,0.9096,-0.3943,0.1365,0.1061,-0.9472,0.8531,-1.2083,0.3674,0.1241,-0.0867,0.2090,0.2635,-0.8748,0.7221,0.6512,-0.5353,0.1880]	y=7.9806
fes=1700	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=1750	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=1800	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=1850	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=1900	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=1950	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=2000	x=[0.8159,0.4207,0.0231,0.3473,0.1453,0.8724,0.2004,-0.4488,-0.1821,0.0458,0.2005,-0.0359,0.7601,0.1212,-0.4096,-0.7246,-0.2799,0.0287,0.6564,0.0916]	y=3.8678
fes=50	x=[-2.6746,1.8848,-2.2260,2.1106,0.4100,-0.2802,3.2288,0.4664,-1.3715,-0.7351,-2.9717,0.1981,-1.5029,0.0332,-3.8452,2.2810,-1.3019,-0.8967,-1.5211,0.8722]	y=70.1186
fes=100	x=[-2.6746,1.8848,-2.2260,2.1106,0.4100,-0.2802,3.2288,0.4664,-1.3715,-0.7351,-2.9717,0.1981,-1.5029,0.0332,-3.8452,2.2810,-1.3019,-0.8967,-1.5211,-0.0551]	y=69.3609
fes=150	x=[-2.6746,1.8848,-2.2260,2.1106,0.4100,-0.2802,3.2288,0.4664,-1.3715,-0.7351,-2.9717,0.1981,-1.5029,0.0332,-3.8452,2.2810,-1.3019,-0.8967,-1.5211,-0.0551]	y=69.3609
fes=200	x=[-2.6746,1.8848,-2.2260,2.1106,0.4100,-0.2802,3.2288,0.4664,-1.3715,-0.7351,-2.9717,0.1981,-1.5029,0.0332,-3.8452,2.2810,-1.3019,-0.8967,-1.5211,-0.0551]	y=69.3609
fes=250	x=[-1.1375,-1.1590,0.9324,-1.0758,0.4141,0.3052,1.6527,0.9086,-1.9106,0.0879,2.5231,0.1913,2.2329,-3.5509,2.3600,1.6215,0.3998,0.8948,3.7651,2.2190]	y=64.4003
