[train epoch=0 slice=10 indices=[406, 185, 115, 90, 840, 996, 808, 408, 727, 271, 163, 166, 108, 671, 156, 509, 396, 847, 701, 473]]
fes=50	x=[-3.7259,-1.3103,-1.6247,-0.7438,3.1574,-2.3621,-0.8109,2.9911,-0.6988,-1.3220,-4.3845,0.5682,0.3409,0.8310,-1.3363,-1.4201,-1.9783,0.3099,-0.5546,1.9332]	y=78.3928
fes=100	x=[1.7776,-0.7596,2.2682,0.4543,0.1554,3.5588,1.4280,-0.4718,1.9208,-0.0346,0.2927,-1.9224,0.1451,1.8057,-0.3086,2.8329,1.3501,-3.1304,2.7585,2.0229]	y=66.2370
fes=150	x=[1.7776,-0.7596,2.2682,0.4543,0.1554,3.5588,1.4280,-0.4718,1.9208,-0.0346,0.2927,-1.9224,0.1451,1.8057,-0.3086,2.8329,1.3501,-3.1304,2.7585,2.0229]	y=66.2370
fes=200	x=[1.7776,-0.7596,2.2682,0.4543,0.1554,3.5588,1.4280,-0.4718,1.9208,-0.0346,0.2927,-1.9224,0.1451,1.8057,-0.3086,2.8329,1.3501,-3.1304,2.7585,2.0229]	y=66.2370
fes=250	x=[-1.2101,-1.1246,-3.0452,0.3001,1.9591,-1.6548,-0.1467,0.2077,-1.3744,-2.7903,1.0206,-0.5622,-2.2815,2.6705,1.1147,-2.0045,1.6439,-1.4894,-2.4887,-0.3359]	y=58.5900
fes=300	x=[0.4783,1.7747,2.2965,1.3315,-1.5244,-0.7879,1.6145,1.5437,-1.0371,1.0496,-1.0448,1.2045,-0.2092,-3.0422,3.2670,-0.2583,-1.1063,-1.1559,1.4367,-2.1380]	y=52.3135
fes=350	x=[3.7719,0.9090,-0.0435,-0.3478,1.1194,-1.4075,1.2511,-1.3458,-0.1067,-0.2260,2.0977,1.3799,1.1479,-0.3356,-2.2155,-1.3429,-0.2125,1.6296,0.3266,-2.0931]	y=43.4844
fes=400	x=[0.6766,0.9727,-0.2698,0.0231,-0.3385,-0.8849,-2.3284,0.0726,0.6119,-0.0256,3.2989,0.8329,0.8433,-0.9890,1.8168,-1.0743,-2.6470,0.0363,-1.6116,2.3403]	y=40.9798
fes=450	x=[0.3893,1.4369,-0.4643,0.5953,1.9591,-3.1552,-0.2100,1.6624,-1.6935,0.3635,0.9625,1.1695,0.7732,0.6199,1.5083,0.0732,0.8858,-0.2041,0.9062,2.0275]	y=33.7027
fes=500	x=[0.3893,1.4369,-0.4643,0.5953,1.9591,-3.1552,-0.2100,1.6624,-1.6935,0.3635,0.9625,1.1695,0.7732,0.6199,1.5083,0.0732,0.8858,-0.2041,0.9062,2.0275]	y=33.7027
fes=550	x=[0.3893,1.4369,-0.4643,0.5953,1.9591,-3.1552,-0.2100,1.6624,-1.6935,0.3635,0.9625,1.1695,0.7732,0.6199,1.5083,0.0732,0.8858,-0.2041,0.9062,2.0275]	y=33.7027
