phase,epoch,slice_id,fes,best_value,learn_steps,message
summary,,,,,,exp_id=1;func_id=1;agent=LDE;use_fe=True;train_seed=1;test_seed=2;slice_count=50;use_max_fes_limit=False;use_max_learning_step_limit=False;max_fes=2000;max_learning_step=1000000000000
train,0,0,2000,18.9318,1,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,1,2000,23.1207,2,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,2,2000,25.0586,3,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,3,2000,14.2510,4,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,4,2000,9.3868,5,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,5,2000,9.6119,6,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,6,2000,4.5601,7,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,7,2000,2.7808,8,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,8,2000,3.1928,9,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,9,2000,3.2344,10,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,10,2000,3.3985,11,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,11,2000,2.1762,12,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,12,2000,2.2795,13,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,13,2000,1.3073,14,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,14,2000,0.7060,15,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,15,2000,1.5835,16,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,16,2000,1.2555,17,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,17,2000,1.5305,18,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,18,2000,0.9552,19,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,19,2000,1.3388,20,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,20,2000,1.3370,21,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,21,2000,1.1221,22,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,22,2000,0.6886,23,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,23,2000,1.0926,24,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,24,2000,1.1759,25,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,25,2000,1.5610,26,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,26,2000,1.5119,27,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,27,2000,1.1010,28,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,28,2000,1.0768,29,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,29,2000,0.8829,30,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,30,2000,1.3993,31,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,31,2000,1.0687,32,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,32,2000,1.2767,33,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,33,2000,1.6629,34,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,34,2000,1.2975,35,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,35,2000,1.0762,36,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,36,2000,1.2899,37,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,37,2000,0.7706,38,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,38,2000,1.1401,39,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,39,2000,0.5507,40,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,40,2000,0.5450,41,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,41,2000,1.0914,42,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,42,2000,1.2753,43,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,43,2000,0.9223,44,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,44,2000,0.7098,45,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,45,2000,1.1693,46,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,46,2000,0.9066,47,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,47,2000,1.8085,48,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,48,2000,1.1453,49,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,49,2000,1.5826,50,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
test,,0,2000,1.5145,,test_seed=2
test,,1,2000,1.7123,,test_seed=2
test,,2,2000,1.6115,,test_seed=2
test,,3,2000,1.2543,,test_seed=2
test,,4,2000,1.6370,,test_seed=2
test,,5,2000,1.3882,,test_seed=2
test,,6,2000,1.2217,,test_seed=2
test,,7,2000,1.1468,,test_seed=2
test,,8,2000,1.3100,,test_seed=2
test,,9,2000,1.1794,,test_seed=2
test,,10,2000,1.4691,,test_seed=2
test,,11,2000,1.0074,,test_seed=2
test,,12,2000,0.8266,,test_seed=2
test,,13,2000,1.3575,,test_seed=2
test,,14,2000,1.1989,,test_seed=2
