phase,epoch,slice_id,fes,best_value,learn_steps,message
test,,15,2000,1.2982,,test_seed=2
test,,16,2000,1.6890,,test_seed=2
test,,17,2000,0.9800,,test_seed=2
test,,18,2000,1.5453,,test_seed=2
test,,19,2000,1.4377,,test_seed=2
test,,20,2000,1.3976,,test_seed=2
test,,21,2000,1.3699,,test_seed=2
test,,22,2000,1.5323,,test_seed=2
test,,23,2000,1.5174,,test_seed=2
test,,24,2000,0.9818,,test_seed=2
test,,25,2000,0.7736,,test_seed=2
test,,26,2000,1.7617,,test_seed=2
test,,27,2000,1.3487,,test_seed=2
test,,28,2000,1.2583,,test_seed=2
test,,29,2000,1.4855,,test_seed=2
test,,30,2000,1.1370,,test_seed=2
test,,31,2000,1.0434,,test_seed=2
test,,32,2000,1.2241,,test_seed=2
test,,33,2000,0.9522,,test_seed=2
test,,34,2000,1.4001,,test_seed=2
test,,35,2000,1.2174,,test_seed=2
test,,36,2000,1.6426,,test_seed=2
test,,37,2000,1.3430,,test_seed=2
test,,38,2000,1.5806,,test_seed=2
test,,39,2000,1.7519,,test_seed=2
test,,40,2000,1.5162,,test_seed=2
test,,41,2000,0.7738,,test_seed=2
test,,42,2000,1.8416,,test_seed=2
test,,43,2000,1.2513,,test_seed=2
test,,44,2000,1.0985,,test_seed=2
test,,45,2000,1.3301,,test_seed=2
test,,46,2000,0.8097,,test_seed=2
test,,47,2000,1.4140,,test_seed=2
test,,48,2000,1.1954,,test_seed=2
test,,49,2000,1.2804,,test_seed=2
summary,,,,,,train_records=50;test_records=50;expected_y=0.0000;optimized_y=66.0154
