[train epoch=0 slice=8 indices=[611, 63, 778, 278, 376, 198, 961, 514, 346, 4, 71, 756, 733, 916, 138, 947, 690, 159, 78, 167]]
fes=50	x=[1.8697,-4.7422,0.3620,-2.5873,-0.7528,-1.1594,-4.6546,1.0727,-0.8830,-3.0778,0.8478,-0.5168,-1.0740,-0.2828,0.6923,1.8510,-0.5340,1.0470,4.7160,-2.8775]	y=105.8163
fes=100	x=[1.5480,-0.4952,-3.5328,-1.9760,-1.4997,2.3016,2.3253,-1.6373,-0.0146,-2.8859,-2.3768,-1.6872,-1.3867,2.3934,-3.0310,1.8248,-1.8718,-2.7425,3.8867,2.2092]	y=102.6660
fes=150	x=[-0.6236,-0.5824,-1.6248,1.2560,2.8584,0.9618,-3.5750,2.4016,-2.6266,-1.3217,-1.1481,0.7138,-1.5791,1.6606,-1.9995,1.1857,1.1774,-0.5262,-2.7101,0.7122]	y=63.2337
fes=200	x=[-0.6236,0.0020,-1.6248,1.2560,2.8584,0.9618,-3.5750,0.9102,-2.6266,-1.3217,-1.1481,0.7138,-1.5791,1.6606,-1.9995,-2.1553,1.1774,-0.5262,-2.7101,0.7122]	y=61.1947
fes=250	x=[-0.6236,0.0020,-1.6248,1.2560,2.8584,0.9618,-3.5750,0.9102,-2.6266,-1.3217,-1.1481,0.7138,-1.5791,1.6606,-1.9995,-2.1553,1.1774,-0.5262,-2.7101,0.7122]	y=61.1947
fes=300	x=[-0.6236,0.0020,-1.6248,1.2560,2.8584,0.9618,-3.5750,0.9102,-2.6266,-1.3217,-1.1481,0.7138,-1.5791,1.6606,-1.9995,-2.1553,1.1774,-0.5262,-2.7101,0.7122]	y=61.1947
fes=350	x=[4.1785,-1.4959,0.0668,2.2898,-0.6048,-1.9932,1.7859,0.4121,0.1001,1.0794,-2.3815,1.1722,-0.5873,0.0876,-0.8907,-1.3395,1.4103,2.1783,-0.0706,-1.8491]	y=53.9614
fes=400	x=[4.1785,-1.4959,0.0668,2.2898,-0.6048,-1.9932,1.7859,0.4121,0.1001,1.0794,-2.3815,1.1722,-0.5873,0.0876,-0.8907,-1.3395,1.4103,2.1783,-0.0706,-1.8491]	y=53.9614
fes=450	x=[3.2514,2.6625,1.1852,-0.0950,1.6064,-0.4119,-1.8896,-2.2016,1.5933,-0.0977,-0.0586,-1.2303,-2.7586,0.7246,-1.3426,-0.4959,0.1646,-0.6006,-0.7742,-2.2976]	y=50.7569
fes=500	x=[-0.7125,0.9677,1.3965,-1.1763,-0.6800,0.1164,-1.0076,0.6954,-2.4110,-2.2886,0.0525,2.6450,-0.2876,-2.4874,-2.9083,-1.5928,-0.0105,-0.0818,1.0221,-1.2348]	y=44.6439
fes=550	x=[-0.7125,0.9677,1.3965,-1.1763,-0.6800,0.1164,-1.0076,0.6954,-2.4110,-2.2886,0.0525,2.6450,-0.2876,-2.4874,-2.9083,-1.5928,-0.0105,-0.0818,1.0221,-1.2348]	y=44.6439
fes=600	x=[0.1039,-0.9248,-0.1369,0.1339,-1.9135,-1.9403,-0.6899,-2.3680,0.4813,-0.0440,-2.5739,-1.9548,0.6564,1.2913,2.6783,0.2511,0.8975,1.5719,1.1054,0.2957]	y=39.0126
fes=650	x=[0.9362,0.7674,-0.9436,-0.7046,0.0068,0.8573,-0.5924,0.6272,-1.6602,0.7835,2.2284,0.2036,0.0284,-0.4710,-3.0685,0.5347,-1.2440,-0.3978,-0.1102,1.4512]	y=26.4570
fes=700	x=[0.9362,0.7674,-0.9436,-0.7046,0.0068,0.8573,-0.5924,0.6272,-1.6602,0.7835,2.2284,0.2036,0.0284,-0.4710,-3.0685,0.5347,-1.2440,-0.3978,-0.1102,1.4512]	y=26.4570
fes=750	x=[0.9377,1.2113,0.9244,0.2300,0.8073,0.1405,-1.7991,-0.0403,0.6461,-1.8669,0.1194,0.8317,-0.2180,0.4119,-0.5116,-1.3321,-0.4624,0.0008,-0.4513,-2.7283]	y=21.8870
