[train epoch=0 slice=3 indices=[67, 23, 133, 770, 154, 663, 813, 795, 511, 634, 965, 980, 593, 204, 513, 828, 600, 9, 602, 657]]
fes=50	x=[2.0730,2.3983,-0.5488,-2.7837,-0.5880,-1.8286,0.9466,0.8604,0.2310,-4.5092,-4.6545,0.4249,-1.6567,-3.4934,1.2993,0.5823,2.3026,0.0799,0.6637,4.4428]	y=108.1194
fes=100	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-1.0385,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=89.5678
fes=150	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-1.0385,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=89.5678
fes=200	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-1.0385,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=89.5678
fes=250	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-0.6818,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=88.9540
fes=300	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-0.6818,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=88.9540
fes=350	x=[0.3196,1.4935,-2.6935,-1.8580,0.5912,3.6737,-0.8099,-1.0889,-1.1426,-3.0592,-3.5429,0.3908,-1.4990,-3.0963,-0.6818,2.5640,2.0437,-3.2739,1.3815,1.0868]	y=88.9540
fes=400	x=[2.0302,0.8280,-2.3850,-2.1679,-1.3489,-0.9173,1.8667,-0.6321,1.7882,0.1284,-2.6583,4.0199,-3.0387,-1.4506,1.7347,0.2864,-2.6579,-0.9626,0.2797,-1.0088]	y=71.6963
fes=450	x=[-0.0399,0.1851,2.4611,-3.7455,2.0516,2.3251,1.3093,0.3299,-2.2529,-1.2030,-0.9535,-1.5850,1.7499,-2.2026,1.0386,-2.3257,0.2015,-0.6324,3.1433,1.9984]	y=70.2198
fes=500	x=[-0.0399,0.1851,2.4611,-3.7455,2.0516,2.3251,1.3093,0.3299,-2.2529,-1.2030,-0.9535,-1.5850,1.7499,-2.2026,1.0386,-2.3257,0.2015,-0.6324,3.1433,1.9984]	y=70.2198
fes=550	x=[-0.0399,0.1851,2.4611,-3.7455,2.0516,2.3251,1.3093,0.3299,-2.2529,-1.2030,-0.9535,-1.5850,1.7499,-2.2026,1.0386,-2.3257,0.2015,-0.6324,3.1433,1.9984]	y=70.2198
fes=600	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=650	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=700	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=750	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=800	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=850	x=[1.5255,-0.6396,0.3865,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.7825
fes=900	x=[1.5255,-0.6396,-0.0298,-2.4021,-1.6994,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=57.6339
fes=950	x=[1.5255,-0.6396,-0.0298,-2.4021,-0.5125,1.7058,1.8091,1.6015,-0.6801,-0.1386,0.3967,-0.1294,-2.0155,-0.2929,-2.5665,2.7463,-1.9182,1.7565,1.8232,2.9102]	y=55.0086
fes=1000	x=[-0.0292,4.8011,0.8816,-1.1177,1.8146,-1.0078,-0.2829,1.7693,0.3460,-2.3033,1.5532,0.1657,0.5892,0.1983,-1.1129,1.0418,0.2379,0.2121,-1.0369,-1.7244]	y=47.3225
fes=1050	x=[-0.0543,-1.4829,-1.6206,-0.4163,-1.8353,1.3995,0.7054,-0.9232,3.1777,-0.0234,-0.2606,-1.4945,-2.0548,0.5025,-0.5754,-0.1068,-1.6541,-3.0085,-0.7743,1.7286]	y=44.2704
fes=1100	x=[-0.0543,-1.4829,-1.6206,-0.4163,-1.8353,1.3995,0.7054,-0.9232,3.1777,-0.0234,-0.2606,-1.4945,-2.0548,0.5025,-0.5754,-0.1068,-1.6541,-3.0085,-0.7743,1.7286]	y=44.2704
fes=1150	x=[-1.5238,-0.7161,-0.5337,-1.7629,-0.2920,-1.8286,-1.3429,0.8155,0.2310,-1.3636,-3.6777,-1.0857,-1.3719,-1.0375,1.5099,-0.3300,2.1258,-0.1968,-0.7551,1.5331]	y=41.5678
fes=1200	x=[-1.5238,-0.7161,-0.5337,-1.7629,-0.2920,-1.8286,-1.3429,0.8155,0.2310,-1.3636,-3.6777,-1.0857,-1.3719,-1.0375,0.4861,-0.3300,2.1258,-0.1968,-0.7551,1.5331]	y=39.5243
fes=1250	x=[-1.5238,-0.7161,-0.5337,-1.7629,-0.2920,-1.8286,-1.3429,0.8155,0.2310,-1.3636,-3.6777,-1.0857,-1.3719,-1.0375,0.4861,-0.3300,2.1258,-0.1968,-0.7551,1.5331]	y=39.5243
fes=1300	x=[0.8743,1.2062,0.3827,-1.2487,-0.0544,1.3175,-2.1895,-1.2116,-1.5730,-1.5505,-1.0028,-0.7218,1.0357,0.1011,1.6062,0.1862,0.7350,2.4232,1.4316,1.7460]	y=33.5383
fes=1350	x=[0.9401,1.5192,-0.8050,-1.1177,1.8146,-1.0078,-0.2829,1.7693,0.3460,-2.3033,1.5532,0.1657,0.5892,0.1983,1.3840,1.0418,0.2379,0.6898,-1.0369,-2.4347]	y=31.3953
fes=1400	x=[0.9401,1.5192,-0.8050,-1.1177,1.8146,-1.0078,-0.2829,1.7693,0.3460,-2.3033,1.5532,0.1657,0.5892,0.1983,1.3840,1.0418,0.2379,0.6898,-1.0369,-2.4347]	y=31.3953
fes=1450	x=[0.9401,1.5192,-0.8050,-1.1177,1.8146,-1.0078,-0.2829,1.7693,0.3460,-2.3033,1.5532,0.1657,0.5892,0.1983,1.3840,1.0418,0.2379,0.6898,-1.0369,-2.4347]	y=31.3953
fes=1500	x=[0.9401,1.5192,-0.8050,-1.1177,1.8146,-1.0078,-0.2829,1.7693,0.3460,-2.3033,1.5532,0.1657,0.5892,0.1983,1.3840,1.0418,0.2379,0.6898,-1.0369,-2.4347]	y=31.3953
fes=1550	x=[0.5336,0.1851,1.7368,-0.8357,0.4121,0.8991,2.6550,0.1322,-1.4688,-1.2030,-1.1269,-0.0014,1.2058,-1.5466,1.0386,-0.3103,2.0964,-0.6324,0.2842,1.9984]	y=30.8432
fes=1600	x=[0.5336,0.1851,1.7368,-0.8357,0.4121,0.8991,-0.5881,0.1322,-1.4688,-1.2030,-1.1269,-0.0014,1.2058,-1.5466,1.0386,-0.3103,2.0964,-0.6324,0.2842,1.9984]	y=24.1397
fes=1650	x=[0.5336,0.1851,1.7368,-0.8357,0.4121,0.8991,-0.5881,0.1322,-1.4688,-1.2030,-1.1269,-0.0014,1.2058,-1.5466,1.0386,-0.3103,2.0964,-0.6324,0.2842,1.9984]	y=24.1397
fes=1700	x=[0.5336,0.1851,1.7368,-0.8357,0.4121,0.8991,-0.5881,0.1322,-1.4688,-1.2030,-1.1269,-0.0014,0.6816,-1.5466,1.0276,-0.3103,1.8158,-0.6324,0.2842,1.9984]	y=22.0300
fes=1750	x=[0.5336,-0.1528,1.7368,-0.8357,0.4121,0.8991,-0.5881,0.1322,-1.4688,-1.2030,-1.1269,-0.0014,0.6816,-1.5466,1.0276,-0.3103,1.8158,-0.6324,0.2842,1.9984]	y=22.0191
fes=1800	x=[0.5336,-0.1528,1.7368,-0.8357,0.4121,0.6796,-0.5881,0.1322,-0.8327,-1.7380,-0.9717,-0.0014,0.6816,-1.5466,1.0276,-0.3103,1.8158,-0.6324,-0.1814,1.9984]	y=21.4086
fes=1850	x=[0.5336,-0.1528,1.7368,-0.8357,0.4121,0.6796,-0.5881,0.1322,-0.8327,-1.7380,-0.9717,-0.0014,0.6816,-1.5466,1.0276,-0.3103,1.8158,-0.6324,-0.1814,1.9984]	y=21.4086
fes=1900	x=[0.5336,-0.1528,1.7368,-0.8357,0.4121,0.6796,-0.5881,0.1322,-0.8327,-1.7380,-0.9717,-0.0014,0.6816,-1.5466,1.0276,-0.3103,1.8158,-0.6324,-0.1814,1.9984]	y=21.4086
fes=1950	x=[0.5899,-0.1528,1.7368,-0.8357,0.4662,0.6796,-0.4977,0.0557,-0.9249,-1.6714,-0.9717,0.0755,0.6816,-1.5221,1.0276,-0.3103,1.8158,-0.6446,-0.1436,1.9984]	y=21.2761
fes=2000	x=[0.5397,-0.5779,-0.6655,-1.5132,1.5496,0.2402,0.4267,-1.2786,1.7079,0.6164,0.8938,-0.5681,-0.2390,-0.5585,1.8613,0.8780,0.0962,-0.4375,1.6414,-0.1109]	y=19.5634
fes=50	x=[-3.4348,-1.8371,-1.6284,-0.9651,1.7037,1.6293,-2.2838,-2.0329,3.4180,-1.9378,-0.7242,-1.3277,2.8183,0.4656,4.1848,-1.2906,-1.3209,-3.8346,2.3046,-2.9054]	y=108.9261
fes=100	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-2.3230,-1.3803,2.9772,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,2.4451,-1.1769]	y=49.5233
fes=150	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-2.3230,-1.3803,2.9772,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,2.4451,-1.1769]	y=49.5233
fes=200	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-2.3230,-1.3803,2.9772,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,2.4451,-1.1769]	y=49.5233
fes=250	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-2.3230,-1.3803,2.9772,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=45.3209
fes=300	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-2.3230,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=41.3017
fes=350	x=[0.9338,-1.4755,-0.3037,-2.0747,1.0271,0.8149,-1.4506,-0.0420,1.0609,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=38.7344
fes=400	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
fes=450	x=[0.9338,-1.4755,-0.3037,-2.0017,1.0341,0.8149,-1.4506,-0.0420,0.7884,-1.6819,-1.3803,2.2010,-2.9648,-0.3206,0.3144,-1.3038,-1.3397,-1.0544,1.3327,-1.1769]	y=37.9474
