[train epoch=0 slice=4 indices=[637, 479, 380, 7, 47, 446, 298, 681, 368, 778, 103, 151, 752, 337, 232, 799, 621, 474, 454, 222]]
fes=50	x=[-2.0411,-3.1572,-1.9198,0.1894,-0.8043,-3.5955,-4.4101,1.5081,-1.9372,3.3492,-0.8631,-0.2266,-1.8734,-0.8501,2.0233,-1.9808,0.2017,1.3197,0.8017,-2.3592]	y=89.1602
fes=100	x=[2.0229,-3.1098,-1.7643,-0.7402,-0.3519,-0.9300,0.6927,-0.6654,-2.0248,-2.0719,-1.7374,2.4341,0.3310,-0.0361,-3.1308,-2.7792,1.5477,-2.4176,-0.5860,1.9434]	y=66.6674
fes=150	x=[2.0229,-3.1098,-1.7643,-0.7402,-0.3519,-0.9300,0.6927,-0.6654,-2.0248,-2.0719,-1.7374,2.4341,0.3310,-0.0361,-3.1308,-2.7792,1.5477,-2.4176,-0.5860,1.9434]	y=66.6674
fes=200	x=[2.0229,-3.1098,-1.7643,-0.7402,-0.3519,-0.9300,0.6927,-0.6654,-2.0248,-2.0719,-1.7374,2.4341,0.3310,-0.0361,-3.1308,-2.7792,1.5477,-2.4176,-0.5860,1.9434]	y=66.6674
fes=250	x=[2.0229,-3.1098,-1.7643,-0.7402,-0.3519,-0.9300,0.6927,-0.6654,-2.0248,-2.0719,-1.7374,2.4341,0.3310,-0.0361,-3.1308,-2.7792,1.5477,-2.4176,-0.5860,1.9434]	y=66.6674
fes=300	x=[2.3182,-0.8008,2.8515,-0.6848,-0.9122,0.5468,-0.5526,0.8862,-3.2550,3.5305,-1.9686,0.0664,0.9314,-0.8848,1.9717,0.7458,1.0377,0.0416,3.2243,-1.4147]	y=63.3457
fes=350	x=[3.4071,-0.7617,0.9923,-3.0556,-1.3147,0.8457,-2.0891,1.2627,0.8010,-2.3061,-2.7080,0.1579,-2.6179,-0.2447,-2.7368,-0.3913,-0.0591,-1.5015,-0.7266,-0.2775]	y=61.6489
fes=400	x=[2.3182,-0.8008,-0.4275,-0.6848,-0.9122,0.5468,-0.5526,0.8862,-3.2550,3.5305,-1.9686,0.0664,0.9314,-0.8848,-1.5142,0.7458,2.2867,0.0416,3.2243,-1.4147]	y=57.9546
fes=450	x=[2.3182,-0.8008,-0.4275,-0.6848,-0.9122,0.5468,-0.5526,0.8862,-3.2550,3.5305,-1.9686,0.0664,0.9314,-0.8848,-1.5142,0.7458,2.2867,0.0416,3.2243,-1.4147]	y=57.9546
fes=500	x=[2.5074,-1.0334,0.9923,-2.5938,-1.4430,0.8457,-2.0891,0.7500,0.6775,-2.2353,-2.7080,0.1579,-1.3962,-0.2447,-2.1864,-0.1645,-0.1730,-0.9510,-1.1644,-0.9388]	y=45.5943
fes=550	x=[2.5074,-1.0334,0.9923,-2.5938,-1.4430,0.8457,-2.0891,0.7500,0.6775,-2.2353,-2.7080,0.1579,-1.3962,-0.2447,-2.1864,-0.1645,-0.1730,-0.9510,-1.1644,-0.9388]	y=45.5943
fes=600	x=[-0.3067,-0.8008,-1.0186,0.3685,-1.2134,0.3131,-0.5526,-0.1144,-1.8209,3.5305,1.3656,0.0664,1.1683,1.4889,-2.4727,0.4161,2.0484,0.0416,0.4976,-0.4827]	y=35.9944
