[train epoch=0 slice=1 indices=[450, 448, 782, 650, 436, 663, 214, 837, 444, 342, 134, 906, 114, 602, 558, 376, 941, 399, 98, 680]]
fes=50	x=[0.3362,1.8279,-0.7362,1.5032,0.1803,0.0941,3.1045,-1.0036,-4.6623,1.6554,-1.0384,3.7774,-1.1392,4.5738,2.9123,1.7784,-3.0527,0.9774,-2.8326,-1.1888]	y=110.3396
fes=100	x=[-1.7584,-0.5476,-1.8400,-4.1732,2.4146,0.4315,2.8734,0.3096,-3.8799,-2.7255,-2.4540,0.5634,2.7337,0.2907,-0.2977,-0.6394,-2.6703,-0.7561,-3.6081,-2.4739]	y=102.2793
fes=150	x=[4.6663,1.9515,-0.2527,0.8856,0.7091,0.3438,-4.7760,-1.7025,1.2143,0.2886,-2.4908,-2.4606,-1.1884,-0.2408,1.0287,2.7833,-2.9864,1.1042,1.3764,1.8313]	y=92.2374
fes=200	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,4.0527,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=80.8509
fes=250	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,1.1301,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=65.7036
fes=300	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,1.1301,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=65.7036
fes=350	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,1.1301,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=65.7036
fes=400	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,1.1301,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=65.7036
fes=450	x=[1.7075,2.3758,-2.6362,4.2792,-0.6949,1.3584,-1.1604,-0.8754,-0.0599,1.3599,0.9597,1.1301,-0.6593,2.7201,-0.9761,0.9251,0.6815,0.2079,3.5043,0.9800]	y=65.7036
fes=500	x=[2.3467,0.0215,2.6491,0.5965,2.6332,2.0895,-0.3673,1.5988,1.2477,-1.7251,-2.1850,-0.5030,2.3245,1.7863,0.8122,2.5838,0.1268,1.6875,1.9927,2.0164]	y=63.2618
fes=550	x=[1.3937,2.5888,-0.8710,0.8856,0.0244,-0.6826,-4.7760,-0.4670,1.1741,-0.4601,-1.4836,-0.2727,-1.1884,-1.4997,1.0287,2.7833,-1.4742,1.4870,0.5850,2.2398]	y=59.7568
fes=600	x=[1.3937,2.5888,-0.8710,1.2346,0.0244,-0.6826,-4.7760,-0.4670,1.1741,-0.4601,-0.6295,-0.2727,-1.1884,-1.4997,1.0287,1.1833,-0.8935,1.4870,0.5850,3.1063]	y=55.6033
fes=650	x=[0.8006,-1.9510,1.2037,0.1902,-1.8660,0.2061,0.7736,-0.8815,-0.2781,-1.3152,1.0874,1.3488,-1.1121,2.4837,1.4960,-0.7659,-1.4965,2.7150,-0.5797,3.8237]	y=50.4390
fes=700	x=[1.3937,0.3529,0.3206,1.2346,0.0244,-0.6826,-0.7838,-0.1649,0.0386,-0.7762,-0.6295,3.3194,-1.1884,-1.4997,1.0287,1.1833,-0.8935,1.1161,-0.8946,4.3407]	y=44.6265
fes=750	x=[1.3937,0.3529,0.3206,1.2346,0.0244,-0.6826,-0.7838,-0.1649,0.0386,-0.7762,-0.6295,3.3194,-1.1884,-1.4997,1.0287,1.1833,-0.8935,1.1161,-0.8946,4.3407]	y=44.6265
fes=800	x=[1.3937,0.3529,0.3206,1.2346,0.0244,-0.6826,-0.7838,-0.1649,0.0386,-0.7762,-0.6295,3.3194,-1.1884,-1.4997,1.0287,1.1833,-0.8935,1.1161,-0.8946,4.3407]	y=44.6265
fes=850	x=[1.3937,0.3529,0.3206,1.2346,0.0244,-0.6826,-0.7838,-0.1649,0.0386,-0.7762,-0.6295,3.3194,-1.1884,-1.4997,1.0287,1.1833,-0.8935,1.1161,-0.8946,4.3407]	y=44.6265
fes=900	x=[-0.3913,-1.1977,1.4983,-1.3427,-2.1568,-0.3121,1.4149,0.3649,0.0478,-0.0367,-2.4409,-0.5636,1.4164,-1.2634,2.1981,0.9178,2.0116,2.5858,-0.6602,-0.9338]	y=40.1154
fes=950	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1000	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1050	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1100	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1150	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1200	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1250	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1300	x=[-0.3801,-1.1977,1.4983,-1.3427,-2.1568,-0.8226,1.4149,0.3649,0.0478,-0.0367,-2.2391,-0.5636,1.4164,-0.1474,2.1981,0.9178,1.4004,1.5740,-0.6602,-0.8347]	y=31.6980
fes=1350	x=[1.1655,-0.2212,0.8113,-1.2829,0.4871,-2.5659,0.7705,0.3532,-1.7709,-0.6223,-1.5378,-0.8297,1.5122,0.7444,0.2279,-1.4927,-0.2638,0.3550,-1.5409,-1.4140]	y=27.5178
fes=1400	x=[1.1655,-0.2212,0.8113,-1.2829,0.4871,-2.5659,0.7705,0.3532,-1.7709,-0.6223,-1.5378,-0.8297,1.5122,0.7444,0.2279,-1.4927,-0.2638,0.3550,-1.5409,-1.4140]	y=27.5178
fes=1450	x=[1.1655,0.0760,0.8113,-1.2267,0.4871,-1.8114,0.7705,0.0905,-1.7709,-0.6223,-0.1775,-0.5493,1.5122,0.8818,0.8531,-1.4927,-0.3039,0.8669,-0.5262,-1.4140]	y=20.6444
fes=1500	x=[1.1655,0.0760,0.8113,-1.2267,0.4871,-1.8114,0.7705,0.0905,-1.7709,-0.6223,-0.1775,-0.5493,1.5122,0.8818,0.8531,-1.4927,-0.3039,0.8669,-0.5262,-1.4140]	y=20.6444
fes=1550	x=[1.1655,0.0760,0.8113,-1.2267,0.4871,-1.8114,0.7705,0.0905,-1.7709,-0.6223,-0.1775,-0.5493,1.5122,0.8818,0.8531,-1.4927,-0.3039,0.8669,-0.5262,-1.4140]	y=20.6444
fes=1600	x=[1.1655,0.0760,0.8113,-1.2267,0.4871,-1.8114,0.7705,0.0905,-1.7709,-0.6223,-0.1775,-0.5493,1.5122,0.8818,0.8531,-1.4927,-0.3039,0.8669,-0.5262,-1.4140]	y=20.6444
fes=1650	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1700	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1750	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1800	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1850	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1900	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=1950	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=2000	x=[1.5279,0.7904,-0.5612,-0.3474,0.1937,0.2749,-0.8622,0.4685,-0.5140,-0.2720,1.1448,2.0573,-1.3802,0.0937,0.0404,1.1833,-0.3385,0.3676,-0.2712,0.2635]	y=14.0604
fes=50	x=[2.3035,3.8673,2.5261,0.0053,0.3507,2.5026,1.0700,0.4725,-1.3181,-4.3494,-3.9561,3.0077,2.9035,-1.1535,1.9456,-0.8931,3.8894,2.8134,2.2914,-2.2577]	y=127.4828
fes=100	x=[-1.1015,-2.7734,0.0221,-4.1210,0.6947,0.1368,3.2399,-0.4317,0.1670,0.4374,4.1470,-0.3745,-1.2714,-2.1488,0.5774,-4.9672,4.7115,-3.2070,-0.4001,-2.0354]	y=122.6558
fes=150	x=[-0.1036,3.0791,3.0697,-2.4543,-2.9417,-3.8032,-1.1443,-1.6778,1.7599,1.2547,2.2756,-0.6231,0.1311,-4.0576,-2.4504,-3.6600,-0.2605,0.0746,-1.6128,2.8258]	y=108.9595
fes=200	x=[1.3233,3.1809,2.1055,-1.1527,-1.3517,-2.3504,0.4822,0.3094,1.6376,1.5398,1.4206,-0.5529,-0.0194,-2.5724,-1.7446,-1.3709,-0.3791,2.0377,0.0162,3.8319]	y=63.2076
fes=250	x=[1.3233,3.1809,2.1055,-1.1527,-1.3517,-2.3504,0.4822,0.3094,1.6376,1.5398,1.4206,-0.5529,-0.0194,-2.5724,-1.7446,-1.3709,-0.3791,2.0377,0.0162,3.8319]	y=63.2076
fes=300	x=[1.3233,3.1809,2.1055,-1.1527,-1.3517,-2.3504,0.4822,0.3094,1.6376,1.5398,1.4206,-0.5529,-0.0194,-2.5724,-1.7446,-1.3709,-0.3791,2.0377,0.0162,3.8319]	y=63.2076
fes=350	x=[1.3233,3.1809,2.1055,-1.1527,-1.3517,-2.3504,0.4822,0.3094,1.6376,1.5398,1.4206,-0.5529,-0.0194,-2.5724,-1.7446,-1.3709,-0.3791,2.0377,0.0162,3.8319]	y=63.2076
fes=400	x=[1.3233,3.1809,2.1055,-1.1527,-1.3517,-2.3504,0.4822,0.3094,1.6376,1.5398,1.4206,-0.5529,-0.0194,-2.5724,-1.7446,-1.3709,-0.3791,2.0377,0.0162,3.8319]	y=63.2076
fes=450	x=[1.2072,2.8216,2.1055,-1.2077,-1.1500,-2.3504,0.2674,0.4461,1.6376,1.5398,1.4277,-0.6632,-0.0194,-2.3854,-1.5564,-1.3709,-0.3791,2.3334,-0.2807,3.6590]	y=59.0071
fes=500	x=[1.2072,2.8216,2.1055,-1.2077,-1.1500,-2.3504,0.2674,0.4461,1.6376,1.5398,1.4277,-0.6632,-0.0194,-2.3854,-1.5564,-1.3709,-0.3791,2.3334,-0.2807,3.6590]	y=59.0071
fes=550	x=[1.2072,2.8216,2.1055,-1.2077,-1.1500,-2.3504,0.2674,0.4461,1.6376,1.5398,1.4277,-0.6632,-0.0194,-2.3854,-1.5564,-1.3709,-0.3791,2.3334,-0.2807,3.6590]	y=59.0071
fes=600	x=[1.2072,2.8216,2.1055,-1.2077,-1.1500,-2.3504,0.2674,0.4461,1.6376,1.5398,1.4277,-0.6632,-0.0194,-2.3854,-1.5564,-1.3709,-0.3791,2.3334,-0.2807,3.6590]	y=59.0071
