[train epoch=0 slice=5 indices=[249, 735, 815, 556, 354, 599, 56, 106, 561, 754, 772, 63, 512, 19, 257, 808, 787, 483, 835, 943]]
fes=50	x=[-3.7233,-2.6569,0.7026,-4.3437,2.9718,-3.4834,1.9659,0.5551,0.6928,1.6438,-0.0220,-1.7474,0.4544,-1.5704,0.0018,0.0500,-0.9917,3.7917,2.6377,0.2824]	y=96.7308
fes=100	x=[-2.3913,-0.2401,-1.6082,-3.3173,2.6884,-4.4546,-0.1952,0.9363,2.8264,0.6470,-0.3036,1.1860,0.2623,-1.5704,1.5271,-1.4442,-1.3667,2.2913,3.0604,0.2824]	y=80.7753
fes=150	x=[-1.5891,0.2407,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,2.9577,0.3550,0.2663,0.3219,-0.8199,-1.1259,0.4420,-3.0575,-1.0459,1.6886,4.2411,0.8872]	y=70.5091
fes=200	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=250	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=300	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=350	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=400	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=450	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=500	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=550	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=600	x=[-1.5008,0.5663,-2.2721,-2.6214,2.0445,-1.2797,-0.8922,2.4551,0.5174,0.3550,-0.3500,-1.6310,-0.2700,-1.1259,0.4420,0.5971,-1.0459,1.6886,-1.2187,-1.4056]	y=39.7231
fes=650	x=[1.2395,1.9246,-0.5429,-1.6542,1.4119,0.3426,-0.9523,-0.5750,-0.6670,1.7237,0.7771,0.3956,1.1001,1.4026,-0.9932,0.1537,-0.9543,4.1367,-0.6777,0.4719]	y=38.6894
fes=700	x=[-1.3219,2.6656,-0.8459,-1.0658,-0.4742,-0.6529,-0.9523,-0.5750,-0.6670,1.4371,0.7771,0.3956,1.1001,1.4026,-0.4549,0.1537,-0.9543,3.4504,-0.6777,0.0034]	y=32.5465
fes=750	x=[-1.3219,2.6656,-0.8459,-1.0658,-0.4742,-0.6529,-0.9523,-0.5750,-0.6670,1.4371,0.7771,0.3956,1.1001,1.4026,-0.4549,0.1537,-0.9543,3.4504,-0.6777,0.0034]	y=32.5465
fes=800	x=[-0.7684,-2.0901,-0.0842,1.3757,1.0105,0.6227,0.5412,-0.3956,-0.5164,-1.5650,-0.8881,-0.3783,-2.4597,-1.1674,0.3582,1.1092,0.5177,1.2155,-0.9253,1.6574]	y=26.4852
fes=850	x=[-0.7180,1.6449,-0.7107,0.3552,0.6357,1.6708,0.0266,-0.6468,-0.6670,-0.0992,0.0559,0.1828,-0.1062,0.2986,-0.7888,-0.4585,0.6816,3.5510,-1.2998,0.4182]	y=23.8304
fes=900	x=[-1.6766,0.1483,-0.9668,0.8969,0.8926,0.6227,-1.2301,-1.3879,0.1792,-1.5117,-0.1500,0.7807,-0.9583,-1.1674,-1.1619,1.1092,0.5349,-0.8298,-1.9211,1.0417]	y=22.7571
fes=950	x=[-1.1919,0.6967,0.5955,1.5341,-0.1123,1.4459,-1.1742,-1.2878,0.5077,-0.6552,0.3167,-0.9505,-0.1624,0.8357,0.7128,-1.3892,1.8997,-0.7387,0.7627,1.2360]	y=20.8719
fes=1000	x=[-1.6766,1.5568,-0.9884,0.8969,-1.4440,-0.9879,-1.2301,-1.1116,0.7750,0.5242,-0.2165,1.1500,-0.1709,-0.1751,-0.1291,1.0145,0.6273,-0.8298,-1.3188,0.0290]	y=18.9985
