[train epoch=0 slice=6 indices=[916, 292, 4, 285, 539, 928, 813, 585, 149, 600, 845, 760, 104, 449, 236, 471, 138, 423, 74, 820]]
fes=50	x=[0.3589,1.6943,3.9673,-2.2179,2.7811,1.1641,-0.8454,4.4640,-1.4074,-2.2124,-2.2810,0.2141,-1.8703,-2.0810,-3.2401,2.3709,3.2160,-2.3251,-1.3359,1.4933]	y=109.2246
fes=100	x=[2.2402,0.6284,-3.8212,-1.6080,-1.8711,1.2371,0.6417,-0.3475,2.0994,-4.6569,1.2514,-3.6152,-2.3300,1.2529,-3.1694,0.7600,-2.8790,-3.4464,1.0624,0.4874]	y=108.0486
fes=150	x=[2.1299,-3.6433,1.1068,-2.6102,1.9547,0.9344,0.0087,0.1450,-1.2574,-3.5089,2.4743,-0.6187,0.1876,2.8101,-1.8385,2.3853,-2.6364,-1.3410,1.7329,0.8461]	y=80.4305
fes=200	x=[0.1364,3.6994,-0.6709,-1.4941,-2.8270,-3.4464,1.9990,0.2174,-0.4008,1.3905,1.2742,-0.3784,-0.3781,0.0681,1.6078,1.1800,0.2029,-1.1568,4.3440,-0.0278]	y=68.5355
fes=250	x=[-0.7493,3.6994,-0.6709,-0.1816,-2.8270,-1.0240,-0.0699,0.9863,-0.4008,0.1034,2.0217,-1.2418,1.0018,2.2309,-0.7103,0.2505,-0.7329,-0.0187,3.0976,-0.0278]	y=47.2302
fes=300	x=[-0.7493,3.6994,-0.6709,-0.1816,-2.8270,-1.0240,-0.0699,0.9863,-0.4008,0.1034,2.0217,-1.2418,1.0018,2.2309,-0.7103,0.2505,-0.7329,-0.0187,3.0976,-0.0278]	y=47.2302
fes=350	x=[-0.7493,3.6994,-0.6709,-0.1816,-2.8270,-1.0240,-0.0699,0.9863,-0.4008,0.1034,2.0217,-1.2418,1.0018,2.2309,-0.7103,0.2505,-0.7329,-0.0187,3.0976,-0.0278]	y=47.2302
fes=400	x=[-0.7493,3.6994,-0.6709,-0.1816,-2.8270,-1.0240,-0.0699,0.9863,-0.4008,0.1034,2.0217,-1.2418,1.0018,2.2309,-0.7103,0.2505,-0.7329,-0.0187,3.0976,-0.0278]	y=47.2302
fes=450	x=[2.0403,-0.4751,0.9488,3.0849,-0.4855,-2.0588,-1.4812,0.0475,-0.3304,0.2065,1.8512,-1.0357,-0.0208,-0.3637,-1.1367,0.6162,0.0556,-1.0566,-2.2893,-1.8269]	y=37.6299
fes=500	x=[2.0403,-0.4751,0.9488,3.0849,-0.4855,-2.0588,-1.4812,0.0475,-0.3304,0.2065,1.8512,-1.0357,-0.0208,-0.3637,-1.1367,0.6162,0.0556,-1.0566,-2.2893,-1.8269]	y=37.6299
fes=550	x=[0.6604,1.0443,-1.7857,-0.4383,-0.0698,-1.2648,0.8803,-0.8501,1.0691,-2.0781,0.4969,-1.8791,-0.2766,2.6608,1.4242,1.6541,-0.6686,0.5012,1.3886,-0.7980]	y=32.4328
